Product Name,Prices,Description,Reviews,Product Link
"REDMI 13c 5G (Starlight Black, 256 GB)","₹13,569",8 GB RAM | 256 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh Battery1 Year,4.2,https://www.flipkart.com/redmi-13c-5g-starlight-black-256-gb/p/itm996fbc603ec3c?pid=MOBGW6S7EDZMAKPF&lid=LSTMOBGW6S7EDZMAKPFYBR3LD&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_2_45&otracker=search&otracker1=search&fm=organic&iid=baf04868-0ca2-4aaa-b7dd-3768b6f4f428.MOBGW6S7EDZMAKPF.SEARCH&ppt=None&ppn=None&ssid=wm98sg8dio0000001720472120492&qH=22bbfb4cd5d2103a
"REDMI Note 13 5G (Stealth Black, 256 GB)","₹19,982",12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display108MP Rear Camera5000 mAh Battery1 Year Brand Warranty,4.1,https://www.flipkart.com/redmi-note-13-5g-stealth-black-256-gb/p/itm82475e073eb2e?pid=MOBGXYWXKXNUTZHH&lid=LSTMOBGXYWXKXNUTZHH9V3BMR&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_2_46&otracker=search&otracker1=search&fm=organic&iid=baf04868-0ca2-4aaa-b7dd-3768b6f4f428.MOBGXYWXKXNUTZHH.SEARCH&ppt=None&ppn=None&ssid=wm98sg8dio0000001720472120492&qH=22bbfb4cd5d2103a
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)","₹15,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP + 5MP + 2MP | 13MP Front Camera6000 mAh Lithium ion BatteryMediaTek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.3,https://www.flipkart.com/samsung-galaxy-f15-5g-groovy-violet-128-gb/p/itmb8432b2780c2d?pid=MOBHYFPPEKZXYEQP&lid=LSTMOBHYFPPEKZXYEQPPNPWO5&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_2_47&otracker=search&otracker1=search&fm=organic&iid=baf04868-0ca2-4aaa-b7dd-3768b6f4f428.MOBHYFPPEKZXYEQP.SEARCH&ppt=None&ppn=None&ssid=wm98sg8dio0000001720472120492&qH=22bbfb4cd5d2103a
"REDMI Note 13 5G (Prism Gold, 256 GB)","₹17,701",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display108MP Rear Camera5000 mAh Battery1 Year Brand Warranty,4.1,https://www.flipkart.com/redmi-note-13-5g-prism-gold-256-gb/p/itm82475e073eb2e?pid=MOBGXFFKZGRH6UTS&lid=LSTMOBGXFFKZGRH6UTSF3B7KF&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_2_48&otracker=search&otracker1=search&fm=organic&iid=baf04868-0ca2-4aaa-b7dd-3768b6f4f428.MOBGXFFKZGRH6UTS.SEARCH&ppt=None&ppn=None&ssid=wm98sg8dio0000001720472120492&qH=22bbfb4cd5d2103a
"REDMI Note 13 5G (Arctic White, 256 GB)","₹17,852",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display108MP Rear Camera5000 mAh Battery1 Year Brand Warranty,4.1,https://www.flipkart.com/redmi-note-13-5g-arctic-white-256-gb/p/itm82475e073eb2e?pid=MOBGXFFMY54GVFCJ&lid=LSTMOBGXFFMY54GVFCJVDVFQU&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_3_49&otracker=search&otracker1=search&fm=organic&iid=c3e2b1b1-ad84-4ef8-83fb-8a72a5aa2b37.MOBGXFFMY54GVFCJ.SEARCH&ppt=None&ppn=None&ssid=mn7y7b6asg0000001720472121042&qH=22bbfb4cd5d2103a
"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)","₹15,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP + 5MP + 2MP | 13MP Front Camera6000 mAh Lithium ion BatteryMediaTek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.3,https://www.flipkart.com/samsung-galaxy-f15-5g-ash-black-128-gb/p/itmfda5356da5277?pid=MOBHYFPPXVTWRUEW&lid=LSTMOBHYFPPXVTWRUEWKVAZQF&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_3_50&otracker=search&otracker1=search&fm=organic&iid=c3e2b1b1-ad84-4ef8-83fb-8a72a5aa2b37.MOBHYFPPXVTWRUEW.SEARCH&ppt=None&ppn=None&ssid=mn7y7b6asg0000001720472121042&qH=22bbfb4cd5d2103a
"POCO X6 5G (Snowstorm White, 256 GB)","₹19,999",12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display64MP + 8MP + 2MP | 16MP Front Camera5100 mAh Battery7s Gen 2 Mobile Platform 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,https://www.flipkart.com/poco-x6-5g-snowstorm-white-256-gb/p/itmc37da758e10c1?pid=MOBGWMGBW4DQE3MK&lid=LSTMOBGWMGBW4DQE3MKS9JJIF&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_3_51&otracker=search&otracker1=search&fm=organic&iid=c3e2b1b1-ad84-4ef8-83fb-8a72a5aa2b37.MOBGWMGBW4DQE3MK.SEARCH&ppt=None&ppn=None&ssid=mn7y7b6asg0000001720472121042&qH=22bbfb4cd5d2103a
"REDMI Note 13 5G (Prism Gold, 256 GB)","₹17,701",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display108MP Rear Camera5000 mAh Battery1 Year Brand Warranty,4.1,https://www.flipkart.com/redmi-note-13-5g-prism-gold-256-gb/p/itm82475e073eb2e?pid=MOBGXFFKZGRH6UTS&lid=LSTMOBGXFFKZGRH6UTSF3B7KF&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_3_52&otracker=search&otracker1=search&fm=organic&iid=c3e2b1b1-ad84-4ef8-83fb-8a72a5aa2b37.MOBGXFFKZGRH6UTS.SEARCH&ppt=None&ppn=None&ssid=mn7y7b6asg0000001720472121042&qH=22bbfb4cd5d2103a
"OnePlus Nord CE4 lite 5G (MEGA BLUE, 128 GB)","₹19,857",8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Display50MP Rear Camera5500 mAh Battery1 year,4.4,https://www.flipkart.com/oneplus-nord-ce4-lite-5g-mega-blue-128-gb/p/itm8fd5fdf300955?pid=MOBH25Z9CCTDDN3J&lid=LSTMOBH25Z9CCTDDN3JOCGEJD&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_3_53&otracker=search&otracker1=search&fm=organic&iid=c3e2b1b1-ad84-4ef8-83fb-8a72a5aa2b37.MOBH25Z9CCTDDN3J.SEARCH&ppt=None&ppn=None&ssid=mn7y7b6asg0000001720472121042&qH=22bbfb4cd5d2103a
"POCO X6 5G (Mirror Black, 256 GB)","₹19,999",12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display64MP + 8MP + 2MP | 16MP Front Camera5100 mAh Battery7s Gen 2 Mobile Platform 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,https://www.flipkart.com/poco-x6-5g-mirror-black-256-gb/p/itm2fed707d6727d?pid=MOBGWMGBKY9HKRHE&lid=LSTMOBGWMGBKY9HKRHEXN3VCJ&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_3_54&otracker=search&otracker1=search&fm=organic&iid=c3e2b1b1-ad84-4ef8-83fb-8a72a5aa2b37.MOBGWMGBKY9HKRHE.SEARCH&ppt=None&ppn=None&ssid=mn7y7b6asg0000001720472121042&qH=22bbfb4cd5d2103a
